imageUrl,ProviderLogo,brand,model,phoneDescription,phoneDescription2,packageDetail,packageName,price,Url
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/00/f1/f1/5e/5ef1f1004c29f2969ec430a0/HUAWEI-B535-932_1.png,/img/logos/vodacom.png,Huawei,B535-932,White,-, Min   SMS ,2GB Data Price plan Top up @ 119,R119.00pm x36 months,https://mobilestore.co.za/deal-details?Deal=DEAL1298435&Name=Huawei B535-932-2GB Data Price plan Top up @ 119
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/00/f1/f1/5e/5ef1f1004c29f2969ec430a0/HUAWEI-B535-932_1.png,/img/logos/vodacom.png,Huawei,B535-932,White,-, Min   SMS ,2GB Data Price plan Top up @ 119,R119.00pm x36 months,https://mobilestore.co.za/deal-details?Deal=DEAL1298349&Name=Huawei B535-932-2GB Data Price plan Top up @ 119
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/00/f1/f1/5e/5ef1f1004c29f2969ec430a0/HUAWEI-B535-932_1.png,/img/logos/vodacom.png,Huawei,B535-932,White,-, Min   SMS ,2GB Data Price plan Top up @ 119,R119.00pm x36 months,https://mobilestore.co.za/deal-details?Deal=DEAL1298306&Name=Huawei B535-932-2GB Data Price plan Top up @ 119
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/87/72/54/60/605472874c5fdb7a75b3aafd/NOKIA-1.3-MM_full.png,/img/logos/vodacom.png,NOKIA,1.3,Cyan/ Charcoal/ Sand,16GB, 0Min 0  0SMS ,uChoose Flexi 125,R125.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297865&Name=NOKIA 1.3-uChoose Flexi 125
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/08/f6/f1/5e/5ef1f608698fba3c08777e4d/Huawei_Y5-Lite_preview_1.png,/img/logos/vodacom.png,Huawei,"Y5,Lite",Black/ Blue,16GB, 0Min 0  0SMS ,uChoose Flexi 125,R125.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297833&Name=Huawei Y5 Lite-uChoose Flexi 125
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/87/72/54/60/605472874c5fdb7a75b3aafd/NOKIA-1.3-MM_full.png,/img/logos/vodacom.png,NOKIA,1.3,Cyan/ Charcoal/ Sand,16GB, 0Min 0  0SMS ,uChoose Flexi 125,R125.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297697&Name=NOKIA 1.3-uChoose Flexi 125
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/08/f6/f1/5e/5ef1f608698fba3c08777e4d/Huawei_Y5-Lite_preview_1.png,/img/logos/vodacom.png,Huawei,"Y5,Lite",Black/ Blue,16GB, 0Min 0  0SMS ,uChoose Flexi 125,R125.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297665&Name=Huawei Y5 Lite-uChoose Flexi 125
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/87/72/54/60/605472874c5fdb7a75b3aafd/NOKIA-1.3-MM_full.png,/img/logos/vodacom.png,NOKIA,1.3,Cyan/ Charcoal/ Sand,16GB, 0Min 0  0SMS ,uChoose Flexi 125,R125.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297613&Name=NOKIA 1.3-uChoose Flexi 125
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/08/f6/f1/5e/5ef1f608698fba3c08777e4d/Huawei_Y5-Lite_preview_1.png,/img/logos/vodacom.png,Huawei,"Y5,Lite",Black/ Blue,16GB, 0Min 0  0SMS ,uChoose Flexi 125,R125.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297581&Name=Huawei Y5 Lite-uChoose Flexi 125
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/08/f6/f1/5e/5ef1f608698fba3c08777e4d/Huawei_Y5-Lite_preview_1.png,/img/logos/vodacom.png,Huawei,"Y5,Lite",Black/ Blue,16GB, 0Min 0  0SMS ,uChoose Flexi 125,R129.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1301719&Name=Huawei Y5 Lite-uChoose Flexi 125
